PCA,term,estimate,se,t,p
PCA1,Intercept,-0.0024852986468971174,0.06302674362800739,-0.03943244571805416,0.9685456120758458
PCA1,PCA1,-0.08817446022193076,0.06344837254953756,-1.3897040488010661,0.16461876485621219
PCA1,KDE_z,-0.0786269467643053,0.06590076216601036,-1.1931113416600017,0.23282577025549778
PCA1,PCA1:KDE_z,-0.01208995665040485,0.057317541842821805,-0.21092943384694268,0.832942335908889
PCA1,Group Var,7.032862957590703e-07,,,
PCA2,Intercept,0.0008220602158684929,0.062003497603040456,0.013258287800657582,0.9894217267740975
PCA2,PCA2,-0.018044961685761918,0.06205722923594212,-0.29077936459513554,0.7712200684099517
PCA2,KDE_z,-0.05221961822460798,0.062107028177587606,-0.8408004658553656,0.40045972612672054
PCA2,PCA2:KDE_z,-0.07727586218700097,0.06888498046983402,-1.1218100326070568,0.2619432195997996
PCA2,Group Var,9.144281066786587e-09,,,
PCA3,Intercept,0.00020644747338005324,0.06209257911459977,0.0033248332783701595,0.9973471717475679
PCA3,PCA3,-0.013550199450870597,0.06312548873335116,-0.21465496303890957,0.830036338300764
PCA3,KDE_z,-0.056958954189317595,0.062100421600990593,-0.9172072060201443,0.3590340714709591
PCA3,PCA3:KDE_z,-0.03630667219335413,0.054584473314207224,-0.665146514913871,0.5059567859102035
PCA3,Group Var,7.752512700124364e-07,,,
PCA4,Intercept,-0.002761005862226021,0.06296461174164746,-0.04385012129598784,0.9650238744631657
PCA4,PCA4,-0.000597928234528306,0.06343936337819132,-0.009425192856425431,0.9924798954779207
PCA4,KDE_z,-0.059711833861184775,0.06423860672074722,-0.9295318953718773,0.35261350360898935
PCA4,PCA4:KDE_z,0.019832362584201915,0.07255051487790944,0.27335936371473746,0.784576986615407
PCA4,Group Var,7.112384891342498e-07,,,
PCA5,Intercept,-0.008783385155937731,0.06225361681882767,-0.14109035915936258,0.8877985597412898
PCA5,PCA5,0.012531023615329808,0.06244030513311293,0.2006880585963767,0.8409424976141197
PCA5,KDE_z,-0.05627663347519168,0.062219279737522934,-0.9044886683452333,0.36573634033457325
PCA5,PCA5:KDE_z,0.09265853395133067,0.06771281025954154,1.3684047907061128,0.17118540552044803
PCA5,Group Var,1.1173489812187238e-08,,,
