t,mean_r,null_lo,null_hi
-10,0.056172883297621774,-0.6055717662133968,0.6904853921412226
-9,-0.05354326763570257,-0.5121839729720715,0.6226452946972576
-8,0.029994568722482167,-0.5199698277190044,0.6413466534078383
-7,-0.04539405970059723,-0.5667450871563177,0.6774517444673257
-6,-0.024465222342960533,-0.6275263306434389,0.6547788137206543
-5,-0.1687358932879117,-0.707250676014014,0.6454280977749568
-4,-0.04482263266654924,-0.576132062542679,0.5404916658337222
-3,0.017593398228647122,-0.6057557461833374,0.6722415664104993
-2,0.034302812639544995,-0.6053245805975073,0.6363363497279438
-1,0.045646684435099394,-0.6331511594663322,0.6152799877164398
0,0.020500415479458484,-0.5968812292256973,0.5452396906182919
1,-0.05687074149376511,-0.5719977646279321,0.5586832528179078
2,-0.04706223604167405,-0.5575737818700476,0.5860441567695125
3,-0.16065785185880013,-0.6876124269147854,0.6639902793656742
4,-0.0697311539980128,-0.6281915437924801,0.6871511801797774
5,0.058518100412645456,-0.6096630614025438,0.5880421517356657
6,0.1480573659184375,-0.6588796138275145,0.6271815595736026
7,-0.008652752131524258,-0.5827077092478474,0.5435677383657881
8,0.028519616522055414,-0.5749836106587041,0.5614502007634166
9,0.009506668110447564,-0.5741486928540512,0.5979632624162616
10,0.004813716403160547,-0.7155090833709947,0.586593994148098
