Video,ΔSpeed,ΔPCA3
12_years_6m,0.879329963203116,0.6956739638651137
12_years_6m,-0.0866775804095341,0.6152802373202033
Movie_Task-c4,1.5843089722996258,0.6842031941960549
Movie_Task-c4,-0.32139756005725295,0.6283614179546492
Movie_Task-c4,-0.7627876848051004,-0.4032416415337826
Movie_Task-lms,-0.3081052685265707,0.4721882403507575
Movie_Task-lms,0.2140314367980808,-0.3313660207223358
Movie_Task-lms,0.9433864541146345,-0.37762654094616466
Movie_Task-summer,-1.1567009169679652,0.16529644344661357
Movie_Task-summer,0.8751118768009287,0.07744879281080569
back_to_the_future_6m,-0.15677823100145336,-0.14613074519552682
pulp_fiction_6m,0.32489012478497264,-1.2973608541822697
pulp_fiction_6m,-0.0588410222098071,0.8549113582523444
shawshank_clip_6m,-1.3334107437957439,-0.7508635744078538
the_prestige_6m,0.5361174193685,0.2678302370874812
