PCA,video,event_index,within_mean,across_mean,z,p,n_pairs
Mean_PCA_5,Movie Task-lms,2,0.30693980934780124,0.9835241392420653,-30.396645539134713,0.0,15
Mean_PCA_5,Movie Task-lms,3,1.0,0.9257509639827036,0.5942894689765252,0.738,3
Mean_PCA_5,Movie Task-lms,4,0.193582414257725,0.4922869643938565,-0.6336072987980794,0.9259999999999999,1
Mean_PCA_5,Movie Task-lms,5,-0.1267327884220278,0.0943051037214148,-5.986053627950862,0.0,1
Mean_PCA_5,Movie Task-lms,6,-0.1643185147045545,0.12441954471327096,-74.52436020265893,0.0,1
Mean_PCA_5,Movie Task-lms,7,0.0826723966867673,-0.13835071305338978,2.4810871333112874,0.0,6
Mean_PCA_5,Movie Task-lms,8,0.22651469196645135,0.12965137446374803,0.5360896683971377,0.5700000000000001,6
Mean_PCA_5,Movie Task-lms,10,1.0,0.9470049953125151,0.5865884600854129,0.7429999999999999,3
Mean_PCA_5,Movie Task-lms,11,0.3048701128110402,0.5090749501777293,-1.7267812893671026,0.07800000000000001,15
Mean_PCA_5,Movie Task-lms,12,0.010178406419148198,0.06018355139550144,-1.1575735582136009,0.306,3
Mean_PCA_5,Movie Task-lms,13,-0.17482451452025535,0.09045797746040637,-4.72495530127771,0.0,3
