video,component,r_obs,p_perm
12 years_6m.mp4,Mean_PCA_1,0.2428133686970826,0.18081918081918083
12 years_6m.mp4,Mean_PCA_2,0.0019716451933821065,0.983016983016983
12 years_6m.mp4,Mean_PCA_3,0.16053266370157898,0.37662337662337664
12 years_6m.mp4,Mean_PCA_4,-0.13806073740860353,0.37662337662337664
12 years_6m.mp4,Mean_PCA_5,0.2615693220651636,0.16783216783216784
Movie Task-summer,Mean_PCA_1,-0.33021159126546396,0.008991008991008992
Movie Task-summer,Mean_PCA_2,0.10174945013696327,0.46353646353646355
Movie Task-summer,Mean_PCA_3,-0.32269463163309436,0.000999000999000999
Movie Task-summer,Mean_PCA_4,-0.08210857640282006,0.5164835164835165
Movie Task-summer,Mean_PCA_5,-0.09526765820854094,0.7472527472527473
back to the future_6m.mp4,Mean_PCA_1,-0.16133175609461778,0.35764235764235763
back to the future_6m.mp4,Mean_PCA_2,0.08699269898926681,0.5694305694305695
back to the future_6m.mp4,Mean_PCA_3,-0.006106593430450412,0.985014985014985
back to the future_6m.mp4,Mean_PCA_4,0.18149507228990894,0.33666333666333664
back to the future_6m.mp4,Mean_PCA_5,-0.0869652841535892,0.6573426573426573
Movie Task-c4,Mean_PCA_1,-0.1693856138105515,0.24675324675324675
Movie Task-c4,Mean_PCA_2,-0.038276878932692465,0.7432567432567433
Movie Task-c4,Mean_PCA_3,0.03447046074424907,0.6753246753246753
Movie Task-c4,Mean_PCA_4,-0.2053196732871229,0.12187812187812187
Movie Task-c4,Mean_PCA_5,0.12339647260612727,0.24375624375624375
Movie Task-lms,Mean_PCA_1,0.10720999994353599,0.5664335664335665
Movie Task-lms,Mean_PCA_2,-0.018566178919622332,0.8111888111888111
Movie Task-lms,Mean_PCA_3,0.056750633065025397,0.8141858141858141
Movie Task-lms,Mean_PCA_4,0.16986179852263686,0.07192807192807193
Movie Task-lms,Mean_PCA_5,-0.009860857937275244,0.985014985014985
the_prestige_6m.mp4,Mean_PCA_1,0.2799513036211745,0.3206793206793207
the_prestige_6m.mp4,Mean_PCA_2,0.234131812070427,0.2957042957042957
the_prestige_6m.mp4,Mean_PCA_3,0.15558772006212876,0.5804195804195804
the_prestige_6m.mp4,Mean_PCA_4,0.07483070920022784,0.7962037962037962
the_prestige_6m.mp4,Mean_PCA_5,-0.33356983941942464,0.25674325674325676
pulp_fiction_6m.mp4,Mean_PCA_1,-0.28419837928135677,0.08891108891108891
pulp_fiction_6m.mp4,Mean_PCA_2,-0.13833357720164602,0.6393606393606394
pulp_fiction_6m.mp4,Mean_PCA_3,-0.24743392810501694,0.46653346653346656
pulp_fiction_6m.mp4,Mean_PCA_4,-0.29857165602836433,0.17482517482517482
pulp_fiction_6m.mp4,Mean_PCA_5,-0.1303089379789479,0.7362637362637363
shawshank clip_6m.mp4,Mean_PCA_1,-0.46870568986398864,0.000999000999000999
shawshank clip_6m.mp4,Mean_PCA_2,0.10532347664733062,0.6453546453546454
shawshank clip_6m.mp4,Mean_PCA_3,0.25613325776189816,0.12687312687312688
shawshank clip_6m.mp4,Mean_PCA_4,0.3600688073329058,0.029970029970029972
shawshank clip_6m.mp4,Mean_PCA_5,0.19515437626328322,0.44955044955044954
