,PC1,PC2,PC3,PC4,PC5
Task,-0.020150455041976625,0.45109559064428767,-0.20341549814267101,0.21518529406324927,0.15953037173538626
Self,-0.15912695847816422,0.33334982261400686,0.329334701508692,0.1835509793163451,0.03155396361124447
People,0.3404578231696632,-0.07866595602644094,0.20936233259657894,-0.0719490982836016,0.07798657196256358
Knowledge,-0.004586882824587129,-0.0037196952912770423,0.6203751486853591,0.052627325834781795,0.014432493119716021
Absorption,0.19625027614310886,0.2699987169934452,0.0682225195729564,-0.1465133435492112,0.07184354524497413
Words,0.3825182014996891,0.07862174513018116,-0.05968218056231053,-0.14063316282758892,0.009695408187691499
Past,0.0582051257082918,-0.022462995791262753,0.592757930138509,-0.056563048313110265,-0.020623317425894388
Deliberate,0.029463957169436786,-0.2391874890120241,-0.05275703539224857,0.06925718479851552,0.5660164498756601
Sounds,0.5572250172448416,0.04533967641784091,-0.202580901851599,0.15164462151077798,-0.040237019287437455
Future,-0.046021855607136605,0.1159249805521801,0.014230248720378338,0.07066256316452744,0.49504711431195486
Problem,-0.04809670970095961,0.12073458216770395,-0.005605406186950956,-0.13122444305415454,0.5182711511964776
Distracting,-0.06932060359812992,0.5499542994401765,0.010808090265046118,0.015456749889237079,0.00926509150679751
Images,0.5007779904254421,-0.0076566428134326285,0.08441025170073056,0.11360068894430218,-0.0918288355053541
Emotion,0.04595547046444024,-0.02983911432165113,0.03282866104410145,0.8761718309750667,-0.025606274825526066
Intrusive,0.13981145125127956,0.45152300186271965,-0.0032298147660336433,-0.1829601188959933,-0.14207803926167206
Detailed,0.27762489285827346,-0.07106118291460448,0.09745939797147869,-0.05756372963625582,0.3107296093896521
