Video,Num_ConsensusBoundaries,Num_Events,Mean_EventLength_s,Median_EventLength_s,SD_EventLength_s
12 years_6m.mp4,9,9,35.625,26.500000000000004,23.259070811191055
all_videos,69,69,4.623573529411765,24.5,119.97826869568996
back to the future_6m.mp4,10,10,34.111111111111114,22.0,22.437292589914495
Movie Task-c4,10,10,61.22222222222222,47.0,49.17266127925099
Movie Task-lms,13,13,50.91666666666666,49.500000000000014,22.09622265355677
Movie Task-summer,14,14,47.53846153846154,28.0,43.71518902486056
pulp_fiction_6m.mp4,7,7,52.0,50.5,12.083045973594578
shawshank clip_6m.mp4,10,10,31.333333333333332,25.0,17.211107524567453
the_prestige_6m.mp4,7,7,48.5,51.50000000000001,27.70529431955801
